,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
294,SMPDA,924.80,-1.3,918.30,932.00,914.00,"11,300",937.00,-12.2
295,SNLI,494.20,-0.16,503.90,503.90,492.00,"31,382",495.00,-0.8
296,SONA,427.00,0.95,420.00,429.90,420.00,"22,739",423.00,4
297,SPC,489.80,-0.04,484.00,494.00,483.00,"7,532",490.00,-0.2
298,SPDL,418.00,-0.45,415.00,423.00,414.30,"106,023",419.90,-1.9
299,SPHL,528.00,-1.49,527.10,540.00,527.00,"4,157",536.00,-8
300,SPIL,719.90,-0.57,710.20,720.00,709.60,"8,105",724.00,-4.1
301,SPL,908.00,-0.66,896.00,908.00,879.00,927,914.00,-6
302,SRLI,396.00,-0.63,395.00,402.50,395.00,"27,640",398.50,-2.5
303,SSHL,163.80,-0.12,164.00,165.00,162.50,"45,703",164.00,-0.2
304,STC,"5,390.00",0.47,"5,300.00","5,399.00","5,300.00",862,"5,365.00",25
305,SWASTIK,"1,445.00",9.99,"1,313.60","1,445.00","1,313.60",150,"1,313.70",131.3
306,SWBBL,788.00,-0.88,780.00,788.00,779.90,"4,465",795.00,-7
307,SWMF,690.00,-0.58,694.00,703.00,686.00,"1,893",694.00,-4
308,TAMOR,470.60,0.13,465.00,472.00,463.00,"6,745",470.00,0.6
309,TPC,349.00,3.41,337.10,353.70,337.10,"122,637",337.50,11.5
310,TRH,700.00,-0.44,704.00,704.00,696.10,"2,351",703.10,-3.1
311,TSHL,697.90,-0.16,686.00,699.00,681.90,"3,543",699.00,-1.1
312,TTL,807.00,-2.06,820.00,837.50,801.10,"59,698",824.00,-17
313,TVCL,429.40,-1.2,426.00,434.00,421.10,"6,183",434.60,-5.2
314,UAIL,452.30,-1.67,455.00,460.00,452.10,"11,572",460.00,-7.7
315,UHEWA,590.00,0.34,585.00,607.00,585.00,"10,562",588.00,2
316,ULBSL,"3,633.90",-2.76,"3,665.20","3,666.00","3,400.10","2,446","3,736.90",-103
317,ULHC,458.50,1.21,450.00,462.00,450.00,"17,501",453.00,5.5
318,UMHL,570.00,-0.35,560.60,571.80,560.60,"86,506",572.00,-2
319,UMRH,562.50,-1.3,579.60,579.80,561.00,"4,670",569.90,-7.4
320,UNHPL,491.00,0.97,492.00,498.00,485.00,"130,446",486.30,4.7
